SEQN,CBD070,CBD090,CBD110,CBD120,CBD130
62161,250,0,0,999999,0
62162,300,0,0,50,0
62163,500,125,93,75,0
62164,500,20,0,100,0
62165,450,40,0,30,0
62166,1285,0,0,999999,0
62167,500,0,0,50,0
62168,171,0,500,60,100
62169,600,150,80,40,0
62170,400,0,200,500,50
62171,400,0,100,250,0
62172,150,0,0,50,0
62173,999999,999999,0,0,0
62174,642,0,171,150,0
62175,900,0,0,50,0
62176,857,214,0,428,0
62177,500,0,0,50,0
62178,125,25,0,14,0
62179,100,0,80,200,0
62180,750,0,160,25,40
62181,400,0,300,25,0
62182,500,100,200,500,100
62183,180,40,300,125,0
62184,750,0,200,350,0
62185,2571,0,0,857,0
62186,400,0,600,171,128
62187,857,0,220,428,0
62188,857,214,0,214,0
62189,300,0,0,0,10
62190,200,0,0,0,0
62191,400,0,0,70,0
62192,428,0,500,350,257
62193,700,0,0,20,11
62194,600,0,300,700,100
62195,250,0,171,342,30
62196,771,171,60,600,0
62197,642,128,214,642,0
62198,400,0,0,20,0
62199,376,0,0,245,0
62200,857,80,60,300,100
62201,100,0,0,0,0
62202,514,0,100,257,240
62203,800,200,0,0,0
62204,642,150,75,85,30
62205,50,0,250,700,300
62206,400,0,200,0,321
62207,300,0,100,50,0
62208,500,0,0,150,0
62209,771,0,300,642,150
62210,500,50,150,500,50
62211,300,0,17,64,0
62212,400,0,200,150,50
62213,50,30,150,40,0
62214,500,30,0,535,30
62215,250,0,0,0,0
62216,300,0,50,250,60
62217,200,0,20,20,0
62218,621,0,400,60,0
62219,600,0,0,50,0
62220,150,0,60,100,0
62221,180,40,300,125,0
62222,350,40,150,150,50
62223,400,100,999999,0,0
62224,900,0,600,100,50
62225,300,150,400,300,25
62226,428,0,235,214,0
62227,857,0,400,300,100
62228,250,0,0,999999,0
62229,70,0,30,10,0
62230,300,0,0,100,0
62231,400,0,500,600,100
62232,800,0,0,100,0
62233,280,0,0,80,60
62234,500,0,0,85,30
62235,514,0,100,400,0
62236,642,0,214,214,0
62237,400,80,0,100,75
62238,700,50,0,250,0
62239,642,0,0,100,0
62240,642,171,60,200,0
62241,200,0,600,1000,150
62242,300,0,0,125,10
62243,4520,45,60,120,200
62244,900,75,0,200,0
62245,342,0,0,300,40
62246,857,0,0,0,0
62247,250,0,50,75,0
62248,1000,0,400,0,0
62249,100,60,0,60,0
62250,642,128,0,171,85
62251,400,0,100,200,0
62252,300,0,200,40,0
62253,214,0,0,30,0
62254,600,0,0,150,150
62255,100,20,0,0,0
62256,350,0,0,0,0
62257,,,,,
62258,642,0,107,291,0
62259,250,0,10,20,5
62260,642,0,64,150,15
62261,128,0,300,128,0
62262,535,0,428,0,0
62263,200,0,0,40,0
62264,192,0,0,75,0
62265,500,200,400,200,0
62266,300,25,0,60,30
62267,600,150,0,150,100
62268,857,42,0,0,0
62269,600,75,0,15,15
62270,500,0,0,100,30
62271,550,0,450,200,200
62272,800,100,200,0,0
62273,500,0,0,600,40
62274,500,80,0,20,0
62275,428,85,100,214,30
62276,400,50,100,999999,0
62277,300,0,0,100,0
62278,300,25,0,107,0
62279,350,0,0,42,0
62280,350,0,0,0,0
62281,350,0,150,150,20
62282,100,0,100,0,0
62283,300,0,150,100,20
62284,150,50,10,130,0
62285,257,0,0,50,0
